age,genre,revenu_mensuel,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,note_evaluation_precedente,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,statut_marital_Divorcé(e),statut_marital_Marié(e),departement_Consulting,poste_Cadre Commercial,poste_Consultant,poste_Directeur Technique,poste_Manager,poste_Représentant Commercial,poste_Ressources Humaines,poste_Senior Manager,poste_Tech Lead,domaine_etude_Entrepreunariat,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Ressources Humaines,domaine_etude_Transformation Digitale,frequence_deplacement_encoded,rapport_revenu_experience,sous_paye,satisfaction_generale,demotivation_importante,stagnation_poste
21,0,-1.12,1,0,0,0.667,0.667,0,0.14,0,0,6,15,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-1.12,1,0.8334999999999999,0,0.0
34,0,-0.753,2,8,4,0.667,0.667,0,0.11,1,0,2,6,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.084,1,0.41675,0,1.0
53,1,2.675,4,26,14,0.667,0.667,0,0.11,0,1,3,5,3,4,8,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.099,0,0.6667500000000001,0,2.6
32,1,-0.549,1,10,10,0.0,1.0,1,0.22,1,0,5,16,1,6,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,-0.05,0,0.33325000000000005,0,0.286
42,0,0.068,0,10,9,0.667,0.667,0,0.11,0,1,2,8,4,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.006,0,0.66675,0,1.4
44,1,0.796,3,24,22,0.333,0.667,0,0.14,0,1,4,7,4,5,17,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.032,0,0.66675,0,1.0
46,1,2.644,3,22,2,0.667,0.667,0,0.12,0,0,2,2,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0.115,0,0.4165,0,0.667
33,0,-0.851,4,7,1,0.667,0.667,0,0.11,0,0,3,2,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-0.106,1,0.8334999999999999,0,1.0
44,0,-0.008,2,9,4,0.667,0.667,1,0.13,0,0,5,10,4,1,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.001,0,1.0,0,1.0
30,0,-0.913,1,10,10,0.333,0.667,0,0.13,0,0,5,9,2,1,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-0.083,1,0.5835,0,0.0
39,0,-0.939,3,19,1,0.667,0.667,0,0.14,1,1,6,5,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,-0.047,0,0.91675,0,0.0
24,0,-0.895,2,6,2,0.667,0.667,1,0.16,1,1,2,1,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.128,1,0.4165,0,0.0
43,1,-0.82,1,6,5,1.0,0.667,0,0.12,0,2,3,2,2,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.117,1,0.75,0,1.5
50,0,-0.812,1,3,3,0.333,0.667,1,0.14,1,0,2,3,2,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,-0.203,1,0.5002500000000001,0,2.0
35,1,-0.954,1,2,2,0.667,0.667,0,0.13,0,0,3,2,3,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,-0.318,1,0.66675,0,0.667
36,1,-0.655,9,6,1,0.333,0.667,1,0.14,0,1,3,5,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.094,1,0.58325,0,1.0
33,1,-0.239,2,10,5,1.0,0.667,0,0.19,0,2,3,1,3,1,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,-0.022,0,0.3335,1,1.5
35,0,-0.967,1,1,1,0.667,0.667,0,0.12,0,1,3,4,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.484,1,0.7502500000000001,0,0.0
27,1,-0.884,1,1,1,0.667,0.667,0,0.13,0,1,6,2,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.442,1,0.66675,0,0.0
26,0,-0.895,1,1,1,0.0,0.667,0,0.12,1,0,2,25,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.448,1,0.41675,0,0.0
27,0,0.472,1,9,9,0.667,0.667,0,0.15,0,0,0,8,3,1,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0.047,0,0.8334999999999999,0,4.0
30,1,-0.529,1,12,12,0.667,1.0,0,0.23,0,0,2,1,2,3,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,-0.041,0,0.8334999999999999,0,2.0
41,1,2.771,1,23,22,0.667,0.667,0,0.12,1,0,0,12,3,15,8,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.115,0,0.66675,0,0.938
34,0,-0.411,0,10,9,0.667,1.0,0,0.2,0,0,2,23,4,8,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.037,0,0.5835,0,0.556
37,0,-0.74,4,8,1,0.667,1.0,0,0.21,0,0,1,19,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.082,1,0.33325000000000005,0,0.0
46,0,-0.155,4,14,9,0.667,1.0,1,0.21,0,0,4,5,4,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,-0.01,0,0.5835,0,6.0
35,0,-0.9,1,1,1,1.0,0.667,0,0.19,0,0,2,8,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.45,1,0.91675,0,0.0
48,0,-0.238,9,23,1,0.333,0.667,1,0.13,1,0,2,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.01,0,0.5835,0,0.0
28,0,-0.651,1,2,2,0.667,0.667,1,0.13,1,0,3,5,4,2,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,-0.217,1,0.5835000000000001,0,0.667
44,1,-0.223,5,9,4,0.667,1.0,1,0.21,0,1,2,1,5,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.022,0,0.33325,0,1.5
35,0,0.718,2,10,4,0.333,0.667,1,0.13,0,1,3,11,2,2,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.065,0,0.5002500000000001,0,0.0
26,1,-0.498,7,5,2,0.333,0.667,1,0.19,0,1,2,23,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.083,1,0.6667500000000001,0,2.0
33,1,1.478,1,15,15,0.667,0.667,1,0.12,0,0,1,1,2,8,12,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0.092,0,0.5835,0,1.556
35,0,0.545,1,9,9,0.667,1.0,0,0.22,0,1,3,18,5,1,8,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0.055,0,0.4165,0,4.0
35,1,-0.529,3,4,2,0.667,0.667,1,0.15,0,1,3,23,4,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-0.106,1,0.5002500000000001,0,0.667
31,0,-0.125,3,10,7,0.667,1.0,0,0.22,0,1,3,7,4,1,7,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.011,0,0.83325,0,3.5
37,0,-0.108,1,7,7,0.333,0.667,0,0.18,0,1,2,1,4,0,7,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,-0.014,0,0.5835,0,5.0
32,0,-0.072,1,9,9,0.667,1.0,1,0.22,0,1,3,1,3,7,8,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,-0.007,0,0.5,0,1.0
38,1,-0.871,1,10,10,0.667,0.667,0,0.11,0,0,2,29,5,9,9,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,-0.079,1,0.91675,0,0.3
50,1,2.6,5,29,27,0.333,0.667,1,0.12,0,1,2,7,2,13,8,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.087,0,0.58325,0,0.214
59,1,0.241,7,28,21,0.667,0.667,0,0.11,0,0,3,25,3,7,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.008,0,0.33325,0,2.0
36,1,0.763,1,17,17,0.667,0.667,0,0.13,0,3,2,8,3,12,8,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.042,0,0.5835,0,1.077
55,1,1.754,2,21,5,0.667,0.667,1,0.14,0,3,2,8,3,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.08,0,0.7502500000000001,0,0.0
36,0,-0.001,1,6,6,0.333,0.667,0,0.13,0,0,3,11,3,0,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,-0.0,0,0.5,0,5.0
45,0,0.684,2,25,1,0.667,0.667,0,0.17,0,1,2,7,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.026,0,0.41675,0,0.0
35,0,-0.916,4,5,3,0.667,0.667,0,0.13,0,1,2,1,3,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-0.153,1,0.4165,0,1.0
36,0,-0.662,0,2,1,0.333,0.667,1,0.17,1,1,0,9,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.221,1,0.5,0,0.0
59,1,-0.219,7,20,4,0.333,0.667,0,0.11,0,0,2,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,-0.01,0,0.5,0,1.5
29,0,-0.807,0,6,5,0.667,1.0,0,0.23,0,1,3,2,3,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.115,1,0.66675,0,4.0
31,0,-0.85,1,1,1,0.667,0.667,0,0.17,0,0,4,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.425,1,0.5,0,0.5
32,0,-0.06,1,10,10,0.667,0.667,0,0.17,0,2,3,1,3,0,9,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.005,0,0.41650000000000004,0,4.0
36,1,-0.736,3,5,1,1.0,0.667,0,0.12,0,0,3,6,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.123,1,0.58325,0,0.0
31,1,-0.442,1,11,11,0.667,1.0,0,0.23,0,0,2,8,4,1,8,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,-0.037,0,0.8334999999999999,0,3.5
35,0,-0.466,0,16,15,0.333,0.667,0,0.14,0,0,2,1,4,2,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.027,0,0.41675,0,4.333
45,0,1.433,4,17,0,0.667,0.667,1,0.14,0,0,3,6,4,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0.58325,0,0.0
37,0,1.522,4,16,5,0.667,0.667,0,0.13,0,0,3,7,4,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.09,0,0.41675,0,2.0
46,0,-0.315,8,16,4,0.667,1.0,1,0.22,0,1,2,5,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,-0.019,0,0.58325,0,2.0
30,0,-0.293,1,10,10,0.333,0.667,1,0.12,0,2,1,1,1,3,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.027,0,0.75,0,2.0
35,0,-0.774,1,6,6,0.333,0.667,0,0.18,0,0,3,1,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.111,1,0.41675,0,4.0
55,0,0.794,3,24,1,0.667,0.667,0,0.14,0,1,4,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.032,0,0.66675,0,0.0
38,1,-0.249,7,17,13,0.0,0.667,1,0.12,0,3,3,6,3,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.014,0,0.75,0,5.5
34,0,-0.463,1,5,5,0.667,0.667,0,0.15,0,0,2,1,2,1,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,-0.077,1,0.41675,0,1.0
56,0,0.161,4,37,6,0.0,0.667,0,0.11,0,0,3,7,3,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.004,0,0.58325,0,4.0
23,0,-0.888,3,3,0,0.667,0.667,0,0.13,0,1,3,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,-0.222,1,0.5002500000000001,0,0.0
51,0,-0.941,3,10,4,0.667,1.0,0,0.23,0,2,4,9,4,0,3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.086,1,0.75,0,2.0
30,0,-0.5,1,11,11,0.333,0.667,0,0.19,0,3,3,2,3,10,8,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,-0.042,0,0.5835,0,0.909
46,0,0.662,1,9,9,0.333,0.667,0,0.16,1,0,3,9,2,4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.066,0,0.8334999999999999,0,1.6
40,0,1.487,1,22,22,0.333,1.0,0,0.22,0,1,3,1,4,11,11,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0.065,0,0.58325,0,0.25
51,0,-0.226,0,11,10,0.667,1.0,1,0.22,0,0,2,21,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.019,0,0.66675,0,3.5
30,1,-0.275,1,11,11,0.333,0.667,1,0.12,0,3,4,4,2,2,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.023,0,0.4165,0,2.667
46,0,0.886,2,21,10,0.333,0.667,1,0.13,0,1,5,1,3,9,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0.04,0,0.41675,0,0.9
32,0,-0.317,1,12,11,0.667,0.667,0,0.16,0,0,0,6,4,5,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.024,0,0.41675,0,1.333
54,1,1.497,9,16,4,0.667,0.667,0,0.12,0,1,5,2,4,0,3,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.088,0,0.16675,0,3.0
24,1,-0.32,0,4,3,0.667,1.0,0,0.21,0,1,2,3,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.064,1,0.25,0,2.0
28,0,-0.485,1,5,5,0.667,0.667,0,0.15,0,0,3,4,3,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.081,1,0.58325,0,4.0
58,0,1.566,0,38,37,0.667,0.667,0,0.13,0,0,1,10,4,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.04,0,0.6667500000000001,0,5.0
44,0,-0.948,4,17,3,0.667,0.667,0,0.12,0,1,3,23,3,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.053,0,0.58325,0,1.0
37,0,-0.941,4,7,3,0.667,1.0,1,0.22,1,0,3,6,4,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,-0.118,1,0.5835,0,2.0
32,0,-0.754,1,1,1,0.667,0.667,0,0.13,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.377,1,0.66675,0,0.0
20,1,-0.76,1,1,1,0.333,0.667,1,0.18,1,0,5,6,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,-0.38,1,0.75,0,0.0
34,1,-0.36,1,16,16,0.667,0.667,0,0.14,0,0,3,6,4,2,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.021,0,0.5002500000000001,0,4.333
37,0,-0.285,5,17,1,0.333,0.667,0,0.14,0,1,2,2,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-0.016,0,0.91675,0,0.0
59,1,2.622,9,30,3,0.333,1.0,0,0.21,0,1,3,2,4,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.085,0,0.8334999999999999,0,0.667
50,1,2.479,3,28,8,0.667,0.667,1,0.19,0,0,1,1,3,0,7,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0.085,0,0.1665,0,3.0
25,0,-0.161,1,6,6,0.333,0.667,1,0.11,1,0,1,5,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.023,0,0.7502500000000001,0,4.0
25,0,-0.768,1,2,2,0.333,0.667,0,0.11,0,2,2,7,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.256,1,0.8334999999999999,0,0.667
22,1,-0.772,1,1,0,0.667,0.667,0,0.15,0,0,5,15,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-0.386,1,0.66675,0,0.0
51,1,0.208,3,23,13,0.333,1.0,0,0.2,0,0,1,1,4,12,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0.009,0,0.25,0,0.923
34,0,-0.091,1,9,9,0.0,1.0,1,0.24,1,0,3,7,3,0,6,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,-0.009,0,0.5835,0,7.0
54,1,2.3,2,23,5,1.0,0.667,1,0.12,0,0,3,26,3,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.096,0,0.8334999999999999,0,0.6
24,0,-0.792,0,6,5,0.667,0.667,0,0.12,0,1,2,18,1,1,2,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.113,1,0.5835,0,1.5
34,1,-0.425,6,12,1,0.333,0.667,0,0.15,0,1,3,6,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.033,0,0.5835,0,0.0
37,0,0.197,2,12,5,0.667,0.667,0,0.12,0,0,3,3,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.015,0,0.5835,0,1.5
34,1,1.09,2,14,11,0.333,0.667,0,0.12,0,0,6,5,3,5,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.073,0,0.5835,0,1.667
36,1,0.687,0,10,9,0.667,0.667,0,0.14,0,1,6,11,2,2,8,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0.062,0,0.66675,0,2.333
36,1,-0.779,5,7,1,0.667,1.0,0,0.22,0,1,2,3,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.097,1,0.41675,0,0.0
43,0,2.222,1,25,25,0.667,0.667,1,0.12,0,2,3,26,2,4,12,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0.085,0,0.91675,0,2.4
30,0,-0.827,1,10,10,0.0,1.0,0,0.25,0,3,2,23,3,0,9,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,-0.075,1,0.41675,0,7.0
33,0,-0.076,0,8,7,0.667,0.667,0,0.13,0,1,2,22,2,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.008,0,0.5,0,7.0
56,1,-0.327,9,7,5,0.667,0.667,1,0.18,1,3,2,14,4,4,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.041,0,0.33325000000000005,0,0.8
51,0,2.769,7,23,20,0.667,0.667,0,0.13,0,0,5,6,3,15,15,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.115,0,0.5002500000000001,0,1.125
31,0,-0.07,4,12,7,0.0,0.667,1,0.18,1,0,3,6,4,7,7,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.005,0,0.4165,0,0.875
26,1,-0.879,1,5,5,0.333,0.667,0,0.19,0,0,3,6,3,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.146,1,0.5,0,0.8
58,1,0.809,1,40,40,0.667,0.667,0,0.12,1,1,3,23,4,15,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.02,0,0.83325,0,0.625
19,0,-1.026,1,0,0,0.667,0.667,1,0.19,1,0,2,22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,-1.026,1,0.75,0,0.0
22,0,-0.846,0,3,2,0.667,0.667,0,0.14,0,1,2,2,1,2,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,-0.212,1,0.7502500000000001,0,0.333
49,1,0.014,1,16,15,0.667,0.667,0,0.14,0,0,2,20,4,5,11,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.001,0,0.41675,0,1.833
43,1,-0.375,4,18,3,1.0,0.667,0,0.12,0,0,2,28,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-0.02,0,0.66675,0,1.0
50,1,0.575,4,16,2,0.667,0.667,0,0.11,0,0,3,12,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0.034,0,0.8334999999999999,0,0.667
31,1,-0.413,3,4,2,0.0,0.667,1,0.11,1,1,2,20,3,2,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.083,1,0.5835,0,0.667
41,0,0.358,3,12,9,0.667,0.667,1,0.13,0,1,2,9,1,0,7,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.028,0,0.667,0,7.0
26,1,-0.757,1,8,8,0.667,1.0,0,0.23,0,1,3,25,1,5,7,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,-0.084,1,0.7502500000000001,0,1.167
36,0,-0.332,6,7,3,0.667,1.0,0,0.2,0,2,0,6,2,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,-0.042,0,0.58325,0,2.0
51,0,0.881,2,18,4,0.0,0.667,0,0.15,1,0,2,8,4,0,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0.046,0,0.66675,0,2.0
39,1,-0.128,4,17,15,0.333,0.667,0,0.14,0,1,1,4,4,5,9,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.007,0,0.8335,0,1.833
