age,genre,revenu_mensuel,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,note_evaluation_precedente,niveau_hierarchique_poste,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,statut_marital_Divorcé(e),statut_marital_Marié(e),departement_Consulting,departement_Ressources Humaines,poste_Cadre Commercial,poste_Consultant,poste_Directeur Technique,poste_Manager,poste_Représentant Commercial,poste_Ressources Humaines,poste_Senior Manager,poste_Tech Lead,domaine_etude_Entrepreunariat,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Ressources Humaines,domaine_etude_Transformation Digitale,rapport_revenu_experience,sous_paye,satisfaction_generale,demotivation_importante,stagnation_poste
53,1,1.985,2,31,25,8,0.333,4,0.667,0,0.16,0,0,3,2,4,1,3,7,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.062,0,0.5835,0,2.0
38,0,-0.555,5,6,3,2,0.667,1,0.667,1,0.11,0,0,3,2,3,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.079,1,0.8334999999999999,0,1.0
24,1,-0.541,0,5,4,2,1.0,2,0.667,0,0.18,0,1,5,11,2,0,1,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.09,1,0.5,0,1.0
36,0,-0.674,7,10,5,3,0.333,1,1.0,0,0.23,1,0,4,9,4,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-0.061,1,0.41675,0,3.0
34,1,1.225,0,13,12,6,0.667,3,0.667,0,0.11,0,0,4,7,4,1,2,11,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.088,0,0.41675,0,2.0
21,0,-0.964,1,0,0,0,0.667,1,0.667,0,0.14,0,0,6,15,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.964,1,0.8334999999999999,0,0.0
34,0,-0.773,2,8,4,2,0.667,1,0.667,0,0.11,1,0,2,6,1,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.086,1,0.41675,0,1.0
53,1,2.515,4,26,14,13,0.667,5,0.667,0,0.11,0,1,3,5,3,1,4,8,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.093,0,0.6667500000000001,0,2.6
32,1,-0.561,1,10,10,2,0.0,1,1.0,1,0.22,1,0,5,16,1,2,6,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.051,0,0.33325000000000005,0,0.286
42,0,0.082,0,10,9,7,0.667,2,0.667,0,0.11,0,1,2,8,4,1,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.007,0,0.66675,0,1.4
44,1,0.839,3,24,22,6,0.333,3,0.667,0,0.14,0,1,4,7,4,1,5,17,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.034,0,0.66675,0,1.0
46,1,2.515,3,22,2,2,0.667,5,0.667,0,0.12,0,0,2,2,4,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.109,0,0.4165,0,0.667
33,0,-0.876,4,7,1,1,0.667,1,0.667,0,0.11,0,0,3,2,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.11,1,0.8334999999999999,0,1.0
44,0,0.002,2,9,4,2,0.667,2,0.667,1,0.13,0,0,5,10,4,1,1,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,1.0,0,1.0
30,0,-0.94,1,10,10,0,0.333,1,0.667,0,0.13,0,0,5,9,2,1,1,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.085,1,0.5835,0,0.0
39,0,-0.964,3,19,1,0,0.667,2,0.667,0,0.14,1,1,6,5,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.048,0,0.91675,0,0.0
24,0,-0.921,2,6,2,0,0.667,1,0.667,1,0.16,1,1,2,1,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.132,1,0.4165,0,0.0
43,1,-0.843,1,6,5,3,1.0,1,0.667,0,0.12,0,2,3,2,2,1,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.12,1,0.75,0,1.5
50,0,-0.834,1,3,3,2,0.333,1,0.667,1,0.14,1,0,2,3,2,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.208,1,0.5002500000000001,0,2.0
35,1,-0.964,1,2,2,2,0.667,1,0.667,0,0.13,0,0,3,2,3,1,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.321,1,0.66675,0,0.667
36,1,-0.672,9,6,1,1,0.333,1,0.667,1,0.14,0,1,3,5,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.096,1,0.58325,0,1.0
33,1,-0.239,2,10,5,3,1.0,2,0.667,0,0.19,0,2,3,1,3,2,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-0.022,0,0.3335,1,1.5
35,0,-0.964,1,1,1,0,0.667,1,0.667,0,0.12,0,1,3,4,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.482,1,0.7502500000000001,0,0.0
27,1,-0.91,1,1,1,0,0.667,1,0.667,0,0.13,0,1,6,2,4,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.455,1,0.66675,0,0.0
26,0,-0.921,1,1,1,0,0.0,1,0.667,0,0.12,1,0,2,25,3,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.46,1,0.41675,0,0.0
27,0,0.502,1,9,9,8,0.667,3,0.667,0,0.15,0,0,0,8,3,2,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.05,0,0.8334999999999999,0,4.0
30,1,-0.541,1,12,12,8,0.667,2,1.0,0,0.23,0,0,2,1,2,2,3,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.042,0,0.8334999999999999,0,2.0
41,1,2.515,1,23,22,15,0.667,5,0.667,0,0.12,1,0,0,12,3,1,15,8,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.105,0,0.66675,0,0.938
34,0,-0.417,0,10,9,5,0.667,2,1.0,0,0.2,0,0,2,23,4,0,8,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.038,0,0.5835,0,0.556
37,0,-0.759,4,8,1,0,0.667,1,1.0,0,0.21,0,0,1,19,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.084,1,0.33325000000000005,0,0.0
46,0,-0.151,4,14,9,6,0.667,2,1.0,1,0.21,0,0,4,5,4,2,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.01,0,0.5835,0,6.0
35,0,-0.926,1,1,1,0,1.0,1,0.667,0,0.19,0,0,2,8,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.463,1,0.91675,0,0.0
48,0,-0.238,9,23,1,0,0.333,3,0.667,1,0.13,1,0,2,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.01,0,0.5835,0,0.0
28,0,-0.667,1,2,2,2,0.667,1,0.667,1,0.13,1,0,3,5,4,1,2,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.222,1,0.5835000000000001,0,0.667
44,1,-0.221,5,9,4,3,0.667,2,1.0,1,0.21,0,1,2,1,5,1,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.022,0,0.33325,0,1.5
35,0,0.759,2,10,4,0,0.333,3,0.667,1,0.13,0,1,3,11,2,0,2,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.069,0,0.5002500000000001,0,0.0
26,1,-0.508,7,5,2,2,0.333,2,0.667,1,0.19,0,1,2,23,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.085,1,0.6667500000000001,0,2.0
33,1,1.549,1,15,15,14,0.667,3,0.667,1,0.12,0,0,1,1,2,2,8,12,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.097,0,0.5835,0,1.556
35,0,0.578,1,9,9,8,0.667,3,1.0,0,0.22,0,1,3,18,5,2,1,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.058,0,0.4165,0,4.0
35,1,-0.54,3,4,2,2,0.667,1,0.667,1,0.15,0,1,3,23,4,1,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.108,1,0.5002500000000001,0,0.667
31,0,-0.119,3,10,7,7,0.667,2,1.0,0,0.22,0,1,3,7,4,1,1,7,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.011,0,0.83325,0,3.5
37,0,-0.102,1,7,7,5,0.333,2,0.667,0,0.18,0,1,2,1,4,1,0,7,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-0.013,0,0.5835,0,5.0
32,0,-0.065,1,9,9,8,0.667,2,1.0,1,0.22,0,1,3,1,3,1,7,8,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.007,0,0.5,0,1.0
38,1,-0.896,1,10,10,3,0.667,2,0.667,0,0.11,0,0,2,29,5,2,9,9,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.081,1,0.91675,0,0.3
50,1,2.515,5,29,27,3,0.333,5,0.667,1,0.12,0,1,2,7,2,1,13,8,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.084,0,0.58325,0,0.214
59,1,0.262,7,28,21,16,0.667,3,0.667,0,0.11,0,0,3,25,3,1,7,9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.009,0,0.33325,0,2.0
36,1,0.806,1,17,17,14,0.667,3,0.667,0,0.13,0,3,2,8,3,1,12,8,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.045,0,0.5835,0,1.077
55,1,1.837,2,21,5,0,0.667,4,0.667,1,0.14,0,3,2,8,3,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.084,0,0.7502500000000001,0,0.0
36,0,0.01,1,6,6,5,0.333,2,0.667,0,0.13,0,0,3,11,3,2,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.001,0,0.5,0,5.0
45,0,0.723,2,25,1,0,0.667,3,0.667,0,0.17,0,1,2,7,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.028,0,0.41675,0,0.0
35,0,-0.943,4,5,3,2,0.667,1,0.667,0,0.13,0,1,2,1,3,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.157,1,0.4165,0,1.0
36,0,-0.678,0,2,1,0,0.333,1,0.667,1,0.17,1,1,0,9,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.226,1,0.5,0,0.0
59,1,-0.217,7,20,4,3,0.333,2,0.667,0,0.11,0,0,2,1,1,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-0.01,0,0.5,0,1.5
29,0,-0.83,0,6,5,4,0.667,1,1.0,0,0.23,0,1,3,2,3,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.119,1,0.66675,0,4.0
31,0,-0.875,1,1,1,1,0.667,1,0.667,0,0.17,0,0,4,1,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.438,1,0.5,0,0.5
32,0,-0.052,1,10,10,4,0.667,2,0.667,0,0.17,0,2,3,1,3,1,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.005,0,0.41650000000000004,0,4.0
36,1,-0.756,3,5,1,0,1.0,1,0.667,0,0.12,0,0,3,6,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.126,1,0.58325,0,0.0
31,1,-0.449,1,11,11,7,0.667,2,1.0,0,0.23,0,0,2,8,4,1,1,8,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-0.037,0,0.8334999999999999,0,3.5
35,0,-0.474,0,16,15,13,0.333,2,0.667,0,0.14,0,0,2,1,4,1,2,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.028,0,0.41675,0,4.333
45,0,1.502,4,17,0,0,0.667,3,0.667,1,0.14,0,0,3,6,4,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.083,0,0.58325,0,0.0
37,0,1.595,4,16,5,2,0.667,3,0.667,0,0.13,0,0,3,7,4,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.094,0,0.41675,0,2.0
46,0,-0.317,8,16,4,2,0.667,2,1.0,1,0.22,0,1,2,5,2,1,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.019,0,0.58325,0,2.0
30,0,-0.294,1,10,10,8,0.333,2,0.667,1,0.12,0,2,1,1,1,1,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.027,0,0.75,0,2.0
35,0,-0.796,1,6,6,4,0.333,1,0.667,0,0.18,0,0,3,1,3,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.114,1,0.41675,0,4.0
55,0,0.837,3,24,1,0,0.667,3,0.667,0,0.14,0,1,4,1,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.033,0,0.66675,0,0.0
38,1,-0.249,7,17,13,11,0.0,2,0.667,1,0.12,0,3,3,6,3,0,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.014,0,0.75,0,5.5
34,0,-0.471,1,5,5,2,0.667,2,0.667,0,0.15,0,0,2,1,2,1,1,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.078,1,0.41675,0,1.0
56,0,0.178,4,37,6,4,0.0,3,0.667,0,0.11,0,0,3,7,3,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.005,0,0.58325,0,4.0
23,0,-0.914,3,3,0,0,0.667,1,0.667,0,0.13,0,1,3,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.228,1,0.5002500000000001,0,0.0
51,0,-0.964,3,10,4,2,0.667,1,1.0,0,0.23,0,2,4,9,4,1,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.088,1,0.75,0,2.0
30,0,-0.509,1,11,11,10,0.333,2,0.667,0,0.19,0,3,3,2,3,1,10,8,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.042,0,0.5835,0,0.909
46,0,0.7,1,9,9,8,0.333,3,0.667,0,0.16,1,0,3,9,2,1,4,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.07,0,0.8334999999999999,0,1.6
40,0,1.559,1,22,22,3,0.333,4,1.0,0,0.22,0,1,3,1,4,2,11,11,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.068,0,0.58325,0,0.25
51,0,-0.224,0,11,10,7,0.667,2,1.0,1,0.22,0,0,2,21,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.019,0,0.66675,0,3.5
30,1,-0.276,1,11,11,8,0.333,2,0.667,1,0.12,0,3,4,4,2,1,2,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.023,0,0.4165,0,2.667
46,0,0.933,2,21,10,9,0.333,3,0.667,1,0.13,0,1,5,1,3,2,9,5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.042,0,0.41675,0,0.9
32,0,-0.32,1,12,11,8,0.667,2,0.667,0,0.16,0,0,0,6,4,1,5,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.025,0,0.41675,0,1.333
54,1,1.57,9,16,4,3,0.667,3,0.667,0,0.12,0,1,5,2,4,1,0,3,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.092,0,0.16675,0,3.0
24,1,-0.322,0,4,3,2,0.667,2,1.0,0,0.21,0,1,2,3,2,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.064,1,0.25,0,2.0
28,0,-0.494,1,5,5,4,0.667,2,0.667,0,0.15,0,0,3,4,3,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.082,1,0.58325,0,4.0
58,0,1.641,0,38,37,10,0.667,4,0.667,0,0.13,0,0,1,10,4,1,1,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.042,0,0.6667500000000001,0,5.0
44,0,-0.964,4,17,3,2,0.667,2,0.667,0,0.12,0,1,3,23,3,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.054,0,0.58325,0,1.0
37,0,-0.964,4,7,3,2,0.667,1,1.0,1,0.22,1,0,3,6,4,1,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.12,1,0.5835,0,2.0
32,0,-0.774,1,1,1,0,0.667,1,0.667,0,0.13,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.387,1,0.66675,0,0.0
20,1,-0.781,1,1,1,0,0.333,1,0.667,1,0.18,1,0,5,6,3,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.39,1,0.75,0,0.0
34,1,-0.364,1,16,16,13,0.667,2,0.667,0,0.14,0,0,3,6,4,1,2,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021,0,0.5002500000000001,0,4.333
37,0,-0.286,5,17,1,0,0.333,2,0.667,0,0.14,0,1,2,2,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.016,0,0.91675,0,0.0
59,1,2.515,9,30,3,2,0.333,5,1.0,0,0.21,0,1,3,2,4,0,2,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.081,0,0.8334999999999999,0,0.667
50,1,2.515,3,28,8,3,0.667,5,0.667,1,0.19,0,0,1,1,3,2,0,7,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.087,0,0.1665,0,3.0
25,0,-0.157,1,6,6,4,0.333,2,0.667,1,0.11,1,0,1,5,3,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.022,0,0.7502500000000001,0,4.0
25,0,-0.789,1,2,2,2,0.333,1,0.667,0,0.11,0,2,2,7,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.263,1,0.8334999999999999,0,0.667
22,1,-0.793,1,1,0,0,0.667,1,0.667,0,0.15,0,0,5,15,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.396,1,0.66675,0,0.0
51,1,0.228,3,23,13,12,0.333,3,1.0,0,0.2,0,0,1,1,4,2,12,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.01,0,0.25,0,0.923
34,0,-0.084,1,9,9,7,0.0,2,1.0,1,0.24,1,0,3,7,3,2,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.008,0,0.5835,0,7.0
54,1,2.406,2,23,5,3,1.0,4,0.667,1,0.12,0,0,3,26,3,0,4,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.1,0,0.8334999999999999,0,0.6
24,0,-0.814,0,6,5,3,0.667,1,0.667,0,0.12,0,1,2,18,1,1,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.116,1,0.5835,0,1.5
34,1,-0.431,6,12,1,0,0.333,2,0.667,0,0.15,0,1,3,6,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.033,0,0.5835,0,0.0
37,0,0.215,2,12,5,3,0.667,3,0.667,0,0.12,0,0,3,3,3,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.017,0,0.5835,0,1.5
34,1,1.145,2,14,11,10,0.333,3,0.667,0,0.12,0,0,6,5,3,1,5,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.076,0,0.5835,0,1.667
36,1,0.726,0,10,9,7,0.667,3,0.667,0,0.14,0,1,6,11,2,2,2,8,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.066,0,0.66675,0,2.333
36,1,-0.801,5,7,1,0,0.667,1,1.0,0,0.22,0,1,2,3,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.1,1,0.41675,0,0.0
43,0,2.324,1,25,25,12,0.667,4,0.667,1,0.12,0,2,3,26,2,2,4,12,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.089,0,0.91675,0,2.4
30,0,-0.85,1,10,10,7,0.0,1,1.0,0,0.25,0,3,2,23,3,2,0,9,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.077,1,0.41675,0,7.0
33,0,-0.068,0,8,7,7,0.667,2,0.667,0,0.13,0,1,2,22,2,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.008,0,0.5,0,7.0
56,1,-0.33,9,7,5,4,0.667,1,0.667,1,0.18,1,3,2,14,4,1,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.041,0,0.33325000000000005,0,0.8
51,0,2.515,7,23,20,18,0.667,5,0.667,0,0.13,0,0,5,6,3,1,15,15,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.105,0,0.5002500000000001,0,1.125
31,0,-0.063,4,12,7,7,0.0,2,0.667,1,0.18,1,0,3,6,4,1,7,7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-0.005,0,0.4165,0,0.875
26,1,-0.904,1,5,5,4,0.333,1,0.667,0,0.19,0,0,3,6,3,1,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.151,1,0.5,0,0.8
58,1,0.853,1,40,40,10,0.667,3,0.667,0,0.12,1,1,3,23,4,1,15,6,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.021,0,0.83325,0,0.625
19,0,-0.964,1,0,0,0,0.667,1,0.667,1,0.19,1,0,2,22,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.964,1,0.75,0,0.0
22,0,-0.87,0,3,2,1,0.667,1,0.667,0,0.14,0,1,2,2,1,1,2,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.218,1,0.7502500000000001,0,0.333
