age,genre,revenu_mensuel,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,statut_marital_Divorcé(e),statut_marital_Marié(e),departement_Consulting,departement_Ressources Humaines,poste_Cadre Commercial,poste_Consultant,poste_Directeur Technique,poste_Manager,poste_Représentant Commercial,poste_Ressources Humaines,poste_Senior Manager,poste_Tech Lead,domaine_etude_Entrepreunariat,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Ressources Humaines,domaine_etude_Transformation Digitale,frequence_deplacement_encoded
22,0,-0.7581092305113335,1,1,1,0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1,0.13,0,2,2,16,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
53,1,1.8961740869419934,2,31,25,8,0.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0.16,0,0,3,2,4,3,7,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
38,0,-0.5437182709123576,5,6,3,2,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,0.11,0,0,3,2,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
24,1,-0.5294822012462215,0,5,4,2,0.0,1.0,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0,0.18,0,1,5,11,2,1,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,0,-0.6578193068931802,7,10,5,3,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,1.0,0,0.23,1,0,4,9,4,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
34,1,1.1667348755413154,0,13,12,6,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0.11,0,0,4,7,4,2,11,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
21,0,-1.119960374413272,1,0,0,0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0,0.14,0,0,6,15,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
34,0,-0.7527972642179991,2,8,4,2,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0.11,1,0,2,6,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
53,1,2.6753333028482813,4,26,14,13,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0,0.11,0,1,3,5,3,4,8,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
32,1,-0.549030237205692,1,10,10,2,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,1,0.22,1,0,5,16,1,6,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
42,0,0.06843272473149725,0,10,9,7,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0,0.11,0,1,2,8,4,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
44,1,0.7957471496148416,3,24,22,6,0.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,0,0.14,0,1,4,7,4,5,17,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
46,1,2.644098941043475,3,22,2,2,0.3333333333333333,0.6666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,0,0.12,0,0,2,2,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
33,0,-0.8513873586222853,4,7,1,1,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0,0.11,0,0,3,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
44,0,-0.008059589892517928,2,9,4,2,1.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,1,0.13,0,0,5,10,4,1,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
30,0,-0.9130061676249642,1,10,10,0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0,0.13,0,0,5,9,2,1,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
39,0,-0.9385036058329693,3,19,1,0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,0,0.14,1,1,6,5,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
24,0,-0.8945205249241606,2,6,2,0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.3333333333333333,0.6666666666666666,1,0.16,1,1,2,1,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
43,1,-0.8197280395140124,1,6,5,3,1.0,1.0,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0,0.12,0,2,3,2,2,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
50,0,-0.8116538507481441,1,3,3,2,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,0.14,1,0,2,3,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
35,1,-0.9538020687577723,1,2,2,2,1.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0.6666666666666666,0,0.13,0,0,3,2,3,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
36,1,-0.6552695630723797,9,6,1,1,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,0.6666666666666666,1,0.14,0,1,3,5,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
33,1,-0.23944884163016386,2,10,5,3,0.6666666666666666,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0,0.19,0,2,3,1,3,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
35,0,-0.967188223816975,1,1,1,0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0.12,0,1,3,4,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
27,1,-0.8843215496409585,1,1,1,0,1.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.6666666666666666,0,0.13,0,1,6,2,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
26,0,-0.8945205249241606,1,1,1,0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0,0.12,1,0,2,25,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
27,0,0.4723546416766441,1,9,9,8,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0,0.15,0,0,0,8,3,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
30,1,-0.5294822012462215,1,12,12,8,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,0,0.23,0,0,2,1,2,3,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
41,1,2.7711611747800338,1,23,22,15,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0,0.12,1,0,0,12,3,15,8,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
34,0,-0.41113159223073126,0,10,9,5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0,0.2,0,0,2,23,4,8,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
37,0,-0.7396235878105298,4,8,1,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,1.0,0,0.21,0,0,1,19,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
46,0,-0.15530729554374717,4,14,9,6,0.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1,0.21,0,0,4,5,4,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
35,0,-0.8996200125657616,1,1,1,0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0,0.19,0,0,2,8,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
48,0,-0.23838644837149697,9,23,1,0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1,0.13,1,0,2,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
28,0,-0.6505950327342455,1,2,2,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,1,0.13,1,0,3,5,4,2,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
44,1,-0.22287550679496057,5,9,4,3,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,1.0,1,0.21,0,1,2,1,5,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
35,0,0.7184049203838929,2,10,4,0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,0.13,0,1,3,11,2,2,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
26,1,-0.4984603180931486,7,5,2,2,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1,0.19,0,1,2,23,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
33,1,1.477803621678977,1,15,15,14,0.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,0.12,0,0,1,1,2,8,12,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
35,0,0.5452348192211919,1,9,9,8,0.3333333333333333,0.6666666666666666,0.0,1.0,0.3333333333333333,1.0,0,0.22,0,1,3,18,5,1,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
35,1,-0.5288447652910213,3,4,2,2,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,0.15,0,1,3,23,4,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
31,0,-0.12492284834587446,3,10,7,7,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,0,0.22,0,1,3,7,4,1,7,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
37,0,-0.10834951351067117,1,7,7,5,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0,0.18,0,1,2,1,4,0,7,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
32,0,-0.0724406213677307,1,9,9,8,0.0,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,1.0,1,0.22,0,1,3,1,3,7,8,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
38,1,-0.8705104372782891,1,10,10,3,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0,0.11,0,0,2,29,5,9,9,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
50,1,2.6001158601346663,5,29,27,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,1,0.12,0,1,2,7,2,13,8,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
59,1,0.24096538993899816,7,28,21,16,0.0,0.6666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,0,0.11,0,0,3,25,3,7,9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
36,1,0.7634503945513685,1,17,17,14,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0,0.13,0,3,2,8,3,12,8,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
55,1,1.7536009116288984,2,21,5,0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,0.14,0,3,2,8,3,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
36,0,-0.0008353157335831605,1,6,6,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0.13,0,0,3,11,3,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
45,0,0.6844083361065528,2,25,1,0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0.17,0,1,2,7,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
35,0,-0.9155559114457648,4,5,3,2,0.3333333333333333,0.6666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,0,0.13,0,1,2,1,3,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
36,0,-0.6618564012761143,0,2,1,0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,1,0.17,1,1,0,9,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
59,1,-0.21883841241202642,7,20,4,3,0.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0,0.11,0,0,2,1,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
29,0,-0.8074042777134766,0,6,5,4,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,0,0.23,0,1,3,2,3,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
31,0,-0.8503249653636185,1,1,1,1,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0,0.17,0,0,4,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
32,0,-0.06011685956719493,1,10,10,4,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0,0.17,0,2,3,1,3,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
36,1,-0.7362239293827958,3,5,1,0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0,0.12,0,0,3,6,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
31,1,-0.44172851808033736,1,11,11,7,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,0,0.23,0,0,2,8,4,1,8,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
35,0,-0.4655261270744754,0,16,15,13,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0,0.14,0,0,2,1,4,2,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
45,0,1.432545668859768,4,17,0,0,1.0,0.6666666666666666,0.0,0.3333333333333333,1.0,0.6666666666666666,1,0.14,0,0,3,6,4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
37,0,1.5215742239360524,4,16,5,2,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.6666666666666666,0,0.13,0,0,3,7,4,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
46,0,-0.31487876299551215,8,16,4,2,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1,0.22,0,1,2,5,2,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
30,0,-0.29256850456350775,1,10,10,8,1.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1,0.12,0,2,1,1,1,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
35,0,-0.77425760804307,1,6,6,4,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0,0.18,0,0,3,1,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
55,0,0.7938348417492412,3,24,1,0,0.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0,0.14,0,1,4,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
38,1,-0.2494353382616325,7,17,13,11,0.3333333333333333,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1,0.12,0,3,3,6,3,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,0,-0.4627639046019415,1,5,5,2,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0.15,0,0,2,1,2,1,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
56,0,0.16086093823551562,4,37,6,4,1.0,0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0,0.11,0,0,3,7,3,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
23,0,-0.8883586440238926,3,3,0,0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0.13,0,1,3,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
51,0,-0.9408408710020364,3,10,4,2,1.0,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,1.0,0,0.23,0,2,4,9,4,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
30,0,-0.4995227113518155,1,11,11,10,0.6666666666666666,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6666666666666666,0,0.19,0,3,3,2,3,10,8,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
46,0,0.6620980776745484,1,9,9,8,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,0,0.16,1,0,3,9,2,4,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
40,0,1.487365161006979,1,22,22,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0,0.22,0,1,3,1,4,11,11,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
51,0,-0.22563772926749445,0,11,10,7,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0,1.0,1,0.22,0,0,2,21,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
30,1,-0.2749327764696376,1,11,11,8,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1,0.12,0,3,4,4,2,2,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
46,0,0.8860505766015262,2,21,10,9,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1,0.13,0,1,5,1,3,9,5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
32,0,-0.3172160281645793,1,12,11,8,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0,0.16,0,0,0,6,4,5,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
54,1,1.4971391789867141,9,16,4,3,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0,0.12,0,1,5,2,4,0,3,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
24,1,-0.3195532933336464,0,4,3,2,0.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,1.0,0,0.21,0,1,2,3,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
28,0,-0.48486168438221255,1,5,5,4,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0,0.15,0,0,3,4,3,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
58,0,1.5657697834965945,0,38,37,10,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0,0.13,0,0,1,10,4,1,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
44,0,-0.9478526665092378,4,17,3,2,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0,0.12,0,1,3,23,3,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
37,0,-0.9412658283055032,4,7,3,2,0.6666666666666666,0.6666666666666666,0.0,1.0,0.6666666666666666,1.0,1,0.22,1,0,3,6,4,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
32,0,-0.7536471788249326,1,1,1,0,1.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.6666666666666666,0,0.13,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
20,1,-0.7600215383769339,1,1,1,0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1,0.18,1,0,5,6,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
34,1,-0.35992423716298777,1,16,16,13,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0.14,0,0,3,6,4,2,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,0,-0.28470679444937286,5,17,1,0,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0,0.14,0,1,2,2,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
59,1,2.6222136399149374,9,30,3,2,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,0,0.21,0,1,3,2,4,2,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
50,1,2.4794279859501094,3,28,8,3,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,1,0.19,0,0,1,1,3,0,7,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
